category,cleanText,kfold
2,পশ্চিমবঙ্গের মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায় ভূতে পান যায়নি ফেব্রুয়ারি কলকাতা কলকাতার বাইরে ভবিষ্যতের ভূত মুক্তির পরদিন হঠাৎ সিনেমাটির প্রদর্শনী বন্ধ দর্শকেরা সিনেমা দেখল ভবিষ্যতের ভূত উধাও ঘটনায় রাজ্যে উত্তেজনা ছড়িয়ে পড়ে সাংবাদিকেরা মুখ্যমন্ত্রীর কাহিনি নীরস মমতা সাফ উত্তর দেব আমায় প্রশ্ন বিষয়ে কাকে প্রশ্ন প্রযোজক কল্যাণময় চট্টোপাধ্যায় বিভিন্ন হলমালিকের সিনেমাটি নামিয়ে ফেলার লিখিত নোটিশ পাঠান চাপাচাপির হলমালিকেরা ওপর মহলের চাপের কথা উত্তর ওটুকুই ওপর মহলটা বিষয়ে মুখ খোলেননি বুঝতেও বাকি বিষয়টি কলাকুশলীদের সংগঠন ইম্পা ফেডারেশনের যোগাযোগ ছবির প্রযোজক পরিচালক শেষ সুরাহা ঘটনা গড়ায় আদালতে মার্চ সুপ্রিম কোর্ট ছবিটির প্রদর্শনী বন্ধ এতেও কাজ সুপ্রিম কোর্টের হস্তক্ষেপে এপ্রিল ছবিটির প্রদর্শনী শুরু বৃহস্পতিবার অলিখিতভাবে ছবির প্রদর্শনী বন্ধ রাজ্য সরকারকে ক্ষতিপূরণের নির্দেশ সুপ্রিম কোর্ট রাজ্য সরকার মানে মমতা বন্দ্যোপাধ্যায় ক্ষতিপূরণ লাখ টাকা প্রশ্ন ছবিতে রাজনৈতিক নির্দেশে বন্ধ সঞ্জয় লীলা বানসালির পদ্মাবতী ছবির প্রিমিয়ারের একের রাজ্য মুখের ওপর দিচ্ছিল মুখ্যমন্ত্রী মমতা বানসালিকে আমন্ত্রণ জানিয়েছিলেন কলকাতায় ছবির প্রিমিয়ার মমতা ভবিষ্যতের ভূতের গেলেন পরিচালক অনীক দত্তের ছবিটির সারসংক্ষেপ হলোরাষ্ট্রব্যবস্থার বিরোধিতা ভূতের কোণঠাসা ছবিতে দেখানো ভিলেনের মাথায় অক্সিজেন ছবিতে চড়াম চড়াম জাতীয় শব্দ কলরব আন্দোলনও উঠে এসেছে ছবিতে নির্বাচনের এতেই মমতা পেয়েছেন ধারণা পর্যবেক্ষকদের মমতা মনে ছবিতে পরিচালক বুঝি কথাই অবস্থাটা ঠাকুর ঘরে কলা খাই ক্ষতিপূরণ বাবদ লাখ টাকা মমতার অঙ্ক সিনেমা বন্ধের মাশুল গুনতে একটা দৃষ্টান্ত চলচ্চিত্রের ভালো খবরই ভবিষ্যতে চলচ্চিত্রশিল্পের স্বাধীনতায় হস্তক্ষেপ কথা মাথায় আনেন একটা সতর্কবার্তা পরিচালক অনীক দত্তকে ধরনের ছবি বানানো বন্ধ উপদেশ ভাতে মরতে অনীক থেমে যাননি সাফ দিয়েছিলেন ভাত পেলে রুটি খেয়ে ভারতে শুরু লোকসভার ভোট গ্রহণ কলকাতাবাসীই সিদ্ধান্ত নিক ভবিষ্যতের ভূত ভোট দেবেন ভোট সিনেমা দেখবেন,0.0
4,ব্রাজিলের বিপক্ষে মেসির পেনাল্টি মিস আর্জেন্টাইন সমর্থকেরা সইবেন কীভাবে ধাক্কা বেইজিংয়ের বার্ডস নেস্টে আর্জেন্টিনা সমর্থকদের প্রত্যাশার ফানুসটা উড়েছিল আকাশজুড়েই দলের সেরা খেলোয়াড়টিই ব্যর্থ বাকিরা অনুপ্রেরণা পাবেন কোত্থেকে চিরপ্রতিদ্বন্দ্বী ব্রাজিলের আর্জেন্টিনার হার প্রীতি ফুটবল বিশ্ব ফুটবলে ছাড় দেওয়া যুদ্ধ যুদ্ধে ছেড়ে দেওয়া যায় সূচ্যগ্রমেদিনীও হাজার কিলোমিটারের ব্যবধানে প্যারিসে মেসির ঘোর প্রতিদ্বন্দ্বী ক্রিস্টিয়ানো রোনালদোও মাঠে নেমেছিলেন কাল মেসির খেলা শেষ হয়ে যাওয়ার সাত ঘণ্টা মেসির ব্যর্থতার দিনে কথাযুদ্ধের রসদ ফ্রান্সের বিপক্ষে পর্তুগালের ম্যাচটিতে আগ্রহভরেই চোখ রেখেছিলেন রোনালদো ভক্তরা মেসির ব্যর্থতার দিনে নিজেকে প্রবল প্রতিদ্বন্দ্বীর সঙ্গেই ব্রাকেটবন্দী রাখলেন রোনালদো ব্যর্থতার ঘেরাটোপ বের পারলেন পর্তুগালের হার শনিবার দিনটা শনির দশাতেই কাটল বিশ্ব ফুটবলের দুই মহাতারকার সাম্প্রতিক সময়ে বার্সেলোনা রিয়াল মাদ্রিদের হয়ে দারুণ খেলা দুই তারকাকে দেশের জার্সি গায়ে অনুজ্জ্বল দেখাল মেসি নিয়ে ব্রাজিলের অন্তরাত্মা কাঁপানোর চেষ্টা ফ্রান্সের বিপক্ষে পর্তুগালের রোনালদো একেবারেই নিষ্প্রভ বোতলবন্দী অবস্থায় কাটিয়ে পুরোটা সময় মেসি পেনাল্টি মিস রোনালদোও খুব পিছিয়ে খেলার দ্বিতীয়ার্ধে নানির পাস মোটামুটি ফাঁকায় পেয়েও মারলেন ফরাসি গোলরক্ষকের হাতে সর্বশেষ কদিনে রোনালদো গোল মিস কয়টাএই পরিসংখ্যান বললে নিশ্চয়ই মহা বিপদে পড়ে যাবেন বোদ্ধারা বার্সেলোনার হয়ে মেসি যেভাবে গোল বানিয়ে যাচ্ছেন ছিটেফোঁটাও ব্রাজিল ম্যাচে আর্জেন্টিনার জার্সি গায়ে প্রতিপক্ষে খেলা বার্সা সতীর্থ নেইমারকে বড্ড মিস করছিলেন তথ্য দিয়ে যায় কালকের পেনাল্টি মিস টানা দ্বিতীয় স্পটকিক মিসের ব্যর্থতা গায়ে মেখেছেন আর্জেন্টাইন তারকা ব্রাজিল ম্যাচ শেষ সংবাদমাধ্যমের মুখোমুখি হয়েছিলেন মেসি ব্রাজিলের বিপক্ষে হারটাকে দুঃখজনক বললেও জয়ের চেষ্টা চালানো কথাটি সময়ই ম্যাচটা জেতার চেষ্টা করেছি ভালো খেলারও চেষ্টা করেছি দুঃখজনক ব্যাপার জিততে পারিনি হারের বড় ভুলকে দুষেছেন মেসি পেনাল্টি মিস পেনাল্টিটা লাগাতে পারলে প্রথমার্ধের গোলের সুযোগটি মিস খেলার পারত ব্যর্থতার দিনে মেসি সংবাদমাধ্যমের মুখোমুখি হয়েছিলেন রোনালদোকে হাঁটুতে বরফ লাগিয়ে থাকতে চেহারা ক্লান্তি ব্যর্থতার গ্লানিতে দ্যুতিহীন নাহ দুজনের ব্যর্থতার দিন প্রত্যাশিত নয় কাছেই সূত্র এএফপি,0.0
5,দুই হাতের তালুর চামড়া আঙুল প্রসারিত অনেকটাই গাছের শিকড়ের মতো আকার নিয়েছে পায়ের আঙুল তালুতেও অবস্থা হাত পায়ের নখগুলো হারিয়ে শিকড়ে ভেতর শিকড় গজিয়েছে বছর বয়সী যুবক আবুল বাজনদারের হাত পায়ে বাড়ি খুলনার পাইকগাছা সদরের সরল গ্রামে চিকিৎসকেরা বলছেন বিরল রোগ চিকিৎসাবিজ্ঞানে এপিডার্মোডাইসপ্লাসিয়া ভেরাসিফরমিস নামে পরিচিত জিনগত একধরনের ভাইরাসের কারণে রোগ ডিসেম্বর খুলনার গাজী মেডিকেল কলেজ হাসপাতালের বহির্বিভাগে আবুল চিকিৎসা আবুলের প্রাথমিক পরীক্ষা নিরীক্ষা হাসপাতালের সার্জারি বিভাগের সহযোগী অধ্যাপক বঙ্গ কমল বসু বৃহস্পতিবার বঙ্গ কমল বসু প্রথম আলোকে আবুলের রোগটি বিরল নাম এপিডার্মোডাইসপ্লাসিয়া ভেরাসিফরমিস জিনগত একধরনের ভাইরাসের কারণে রোগ জানান জানুয়ারি হাসপাতালের চিকিৎসকেরা আবুলের রোগ বোর্ড বসান দেশের শীর্ষস্থানীয় হাসপাতালে পাঠানোর সিদ্ধান্ত বৃহস্পতিবার বিকেলে আবুলের বাড়িতে ছোট্ট খুপরি ঘরে শুয়ে আছেন পাশে বিষণ্ন আছেন আমেনা বেগম বাবা মানিক বাজনদার কাঁদতে কাঁদতে আমেনা বেগম প্রথম আলোকে বছর রোগে ভুগছেন আবুল চিকিৎসককে দেখালেও ভালো অবস্থা দিন দিন খারাপ রোগটি সূত্রপাতের কথা মানিক বাজনদার আবুলের বয়স বছর ডান হাঁটুর নিচে আঁচিলের মতো একধরনের গোটা উঠতে দুই হাতের কনুই দুই পায়ের হাঁটু আঁচিলে ভরে খুলনায় হোমিও চিকিৎসাও করান শিকড় গজানো ধীরে ধীরে বাড়তে খুলনা মেডিকেল কলেজ হাসপাতালে আবুলকে সেখানকার চিকিৎসকেরা একপর্যায়ে উন্নত চিকিৎসা বাবা অভাবের সংসারে দ্বারে দ্বারে ঘুরে স্থানীয় জনপ্রতিনিধিদের টাকা দুই দফায় ভারতের কলকাতায় চিকিৎসাও করানো আবুলের হাত পায়ে গজানো শিকড়কে খুব ভারী মনে আবুলের এগুলো মাঝে মাঝে উৎকট গন্ধও তৈরি খাওয়া শুরু কোনো কাজই ভাইবোনের আবুল ষষ্ঠ সালে গড়ইখালী গ্রামের হালিমা খাতুনের বিয়ে তিন বছরের শিশুকন্যা,0.0
5,ফরিদপুরে খননযন্ত্র বসিয়ে নদী বালু তোলায় আলমগীর হোসেন নামের ব্যক্তিকে হাজার টাকা জরিমানা ভ্রাম্যমাণ আদালত গতকাল সোমবার আলফাডাঙ্গা উপজেলা নির্বাহী কর্মকর্তা নির্বাহী হাকিম মোহামঞ্চদ আবুল খায়েরের আদালত জরিমানা আলমগীর হোসেন বুরাইচ ইউনিয়নের খোলাবাড়িয়া এলাকায় মধুমতি নদী বালু তুলছিলেন,0.0
4,সালে ইংল্যান্ডের বিপক্ষে প্রথম সেঞ্চুরিটি পেয়েছিলেন রানের ম্যাচ সেরা পুরস্কার জেতা ইনিংস খেলেও হারতে দেখেছিলেন দলকে কাল বৃথা তামিম ইকবালের সেঞ্চুরি চ্যাম্পিয়নস ট্রফিতে বাংলাদেশি ব্যাটসম্যানদের সর্বোচ্চ ইনিংসের রেকর্ড গড়ে রানের পুঁজি এনে দিয়েও কালকের ম্যাচের তামিমের উপলব্ধি বোলিংটা ভালো স্কোরই নিরাপদ বোলিংয়ের ছকটা বাংলাদেশ ভালোভাবে কষতে পারত উপলব্ধি তামিমের শিক্ষাটা স্কোর স্কোরই করুন পরিকল্পনামতো বোলিং পারলে বোলিংয়ে ভুল করছি বের সেগুলো শুধরে নিশ্চিত পরের ম্যাচের ঠিকঠাক প্রস্তুত হয়েছি কথা ব্যাপারগুলো অন্যভাবে পারতাম কালকের ইনিংসটি দুই স্মৃতি বয়ে আইসিসির ওয়ানডে টুর্নামেন্টে প্রথম সেঞ্চুরি যোগ ব্যক্তিগত অর্জনও শেষ জেতেনি জিতলে ইনিংসের মাহাত্ম্য হতো নিশ্চয়ই সিনিয়র ক্রিকেটার হিসেবে তামিম দলে অবদানই রাখতে তামিম ব্যাটসম্যান দারুণ ধারাবাহিক ক্যারিয়ারের ওয়ানডে সেঞ্চুরির টিই দুই বছরে এসেছে ব্যাটে গতকালও শুরুর খেলেছেন রয়েসয়ে সুযোগ বুঝে রানের গতি বাড়িয়েছেন মাঠেই দুদিন রানে অলআউট অপচ্ছায়া দূর ব্যাটেই তামিম ইনিংসটা ব্যাখ্যা এভাবে চেষ্টা করিনি বুঝে বুঝে খেলতে চেয়েছি যেটা বিশেষভাবে খেয়াল রেখেছিলাম বাউন্ডারি মারার সুযোগ পেলে হাতছাড়া যখনই বাজে পেয়েছি নিশ্চিত করেছি চার সূত্র ক্রিকইনফো,0.0
4,অস্ট্রেলিয়া ক্রিকেট দলের মান অস্ট্রেলিয়ার ফিল্ডিং করিনি স্টিভ স্মিথের অনুযোগটি সত্য সোমবার ওয়েস্ট ইন্ডিজের বিপক্ষে সত্যিকার অর্থেই অস্ট্রেলিয়ার মেলেনি হারের সুযোগ দিচ্ছেন মারলন স্যামুয়েলস ব্যাট নেমেছিলেন ওভারে ওভার খানিকটা আধো ঘুম আধো জাগরণে পার একটা সময় রান ওভারে মিচেল মার্শের ওয়ানডে ক্যারিয়ারের শততম ছক্কা মেরে জেগে উঠলেন স্যামুয়েলস পরের ছক্কাটি ইনিংসের ওভারে অ্যাডাম জামপার প্রথম ছক্কা ছক্কা পরের দুই বলেও চতুর্থ বলেই রান আউট স্যামুয়েলস ম্যাচ শেষ অস্ট্রেলিয়ান ফিল্ডারদের বদান্যে জীবন লাগিয়ে দুই ওপেনার রানের ভিত্তি গড়ে দিয়েছিলেন স্যামুয়েলস ড্যারেন ব্রাভো ভিত্তি লাগিয়েছেন দারুণভাবে রানের জুটির ব্রাভো ফিরলেও প্রান্তে রয়ে গেছেন স্যামুয়েলস ওভারের প্রতিটিতে চার মেরেছেন স্যামুয়েলস ফেরার পরই আবারও ওয়েস্ট ইন্ডিজের ব্যাটিংয়ের ভগ্নদশা বাকি রান নিতেই উইকেট হারিয়ে ফেলে শেষ উইকেট হাতে জয়ী স্বাগতিকেরা পরশু স্যামুয়েলসের নড়বড়ে নব্বইয়ে রান আউট উসমান খাজাও ডেভিড ওয়ার্নারের অনুপস্থিতিতে ওপেনিংয়ে উঠে আসা খাজা আউট ওয়ানডেতে প্রথম সেঞ্চুরি রান দূরে স্মিথের জর্জ বেইলির রানই অস্ট্রেলিয়াকে রানের স্কোর এনে দিয়েছিল আগের ম্যাচেও সেন্ট কিটসের উইকেটে ডেথ ওভারে রান নেওয়াটা কঠিন মনে এটাকেই স্কোর মনে হচ্ছিল স্যামুয়েলস ম্যাচটা নিতেই এএফপি সংক্ষিপ্ত স্কোরঅস্ট্রেলিয়া ওভারে খাজা স্মিথ বেইলি পোলার্ড হোল্ডার ব্রাফেট ওয়েস্ট ইন্ডিজ ওভারে স্যামুয়েলস চার্লস ব্রাভো জামপা কোল্টার নাইল ওয়েস্ট ইন্ডিজ উইকেটে জয়ী ম্যান দ্য ম্যাচ মারলন স্যামুয়েলস,0.0
4,কার্লোস দুঙ্গা নেইমারকে তারকা মনে দিন ব্রাজিলের নতুন কোচ তারকা নেইমারকে অবশ্যই জিততে বিশ্বকাপ তারকা হোন সামর্থ্য যোগ্যতা নেইমার ব্রাজিল দলের অনুপ্রেরণার উৎস তো দুঙ্গাও বছর বয়সী নেইমার তারুণ্যনির্ভর ব্রাজিল দলের প্রেরণা দ্বিতীয় মেয়াদে ব্রাজিল জাতীয় দলের দায়িত্ব পরশু প্রথমবারের মতো দুঙ্গা সেপ্টেম্বর যুক্তরাষ্ট্রের মায়ামিতে বিশ্বকাপের কোয়ার্টার ফাইনালের প্রতিপক্ষ কলম্বিয়ার প্রীতি ম্যাচ খেলবে ব্রাজিল চার দিন নিউইয়র্কে প্রতিপক্ষ ইকুয়েডর বিশ্বকাপের কথা মাথায় রেখেই কিনা দুঙ্গার সদস্যের দলে তারুণ্যের ছড়াছড়ি লুইস ফেলিপে স্কলারির সদস্যের বিশ্বকাপ দলের জায়গা দুঙ্গার দলে ডাক পেয়েছেন ক্রুজেইরোর এভারটন রিবেইরো রিকার্ডো গুলার্ট পোর্তোর ডিফেন্ডার দানিলো অ্যালেক্স সান্দ্রোদের মতো তরুণেরা সাও পাওলোতেই প্রতিক্রিয়ায় দুঙ্গা নেইমারকে কেন্দ্র গড়ে উঠবে দুঙ্গা দলের তরুণ খেলোয়াড়দের বলেও নেইমারের অনুপ্রেরণা খুঁজে ব্রাজিলিয়ান ফুটবলের প্রসঙ্গে নেইমারের কথা আসবেই বাকি বিশ্বেও খেলোয়াড় হিসেবে মান অসাধারণ লাগাতে দলেরই প্রতীক যেসব তরুণ খেলোয়াড় উঠে আসছে সবারই আদর্শ সান্তোস ছেড়ে বার্সেলোনায় যোগ দেওয়ায় মাঠ মাঠের বাইরে দুই জায়গাতেই বছর বয়সী নেইমার উন্নতি মনে দুঙ্গা প্রচুর উন্নতি বছরে মানসিক শারীরিকভাবেও শক্তিশালী টেকনিক্যালিও উন্নতি পিঠে চোট বিশ্বকাপ স্বপ্নভঙ্গের পরপরই সাক্ষাৎকারে নেইমার বুঝিয়ে ফুটবলার হিসেবেই মানুষ হিসেবেও উঠেছেন ব্রাজিলের বিশ্বকাপজয়ী অধিনায়ক দুঙ্গাও বলছেন বেশি পরিণত সবাই সাক্ষাৎকার দেখেছি বলেছে বিশ্বকাপের ভালো ভালোভাবে প্রস্তুতি প্রমাণ ফুটবলে রিবেইরো গুলার্টদের মতো তরুণদের দলে দুঙ্গার যুক্তি এভারটন রিবেইরোকে ড্রিবলিংয়ের চার খেলোয়াড়ের দুই লাইনের কড়া মার্কিংয়ের যুগে খুব জায়গা সৃষ্টিশীল খেলোয়াড় গুরুত্বপূর্ণ ড্রিবলিংটাই শক্তিশালী দিক রয়টার্স গোলডটকম,0.0
0,সূচকের নিম্নমুখী প্রবণতায় মঙ্গলবার শেষ ঢাকা চট্টগ্রাম স্টক এক্সচেঞ্জের ডিএসই সিএসই লেনদেন দিনের লেনদেন শেষে দুই স্টক এক্সচেঞ্জে অধিকাংশ কোম্পানির শেয়ারের দাম কমেছে সূচক কমেছে লেনদেন বেড়েছে উভয় বাজারে ডিএসইতে কোটি টাকার লেনদেনপ্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের ডিএসই ডিএসইএক্স সূচক পয়েন্ট কমে দাঁড়িয়েছে চার হাজার পয়েন্টে সকাল সাড়ে টায় সূচকের ইতিবাচক প্রবণতায় ডিএসইতে লেনদেন শুরু বেলা দেড়টা এভাবেই লেনদেন এরপর সূচক নিম্নমুখী লেনদেনের শেষ অব্যাহত ডিএসইতে প্রতিষ্ঠানের শেয়ার মিউচুয়াল ফান্ড লেনদেন টির দাম কমেছে বেড়েছে টির অপরিবর্তিত প্রতিষ্ঠানের শেয়ারের দাম ডিএসইতে কোটি টাকার শেয়ার লেনদেন গতকালের কোটি টাকা বেশি গতকাল বাজারে কোটি টাকার শেয়ার লেনদেন ডিএসইতে লেনদেনে শীর্ষে গ্রামীণফোনগতকালের আজও ডিএসইতে লেনদেনে শীর্ষে গ্রামীণফোন প্রতিষ্ঠানের কোটি টাকার শেয়ার লেনদেন পদ্মা অয়েল হেইডেলবার্গ সিমেন্ট মেঘনা পেট্রোলিয়াম অলিম্পক ইন্ডাস্ট্রিজ লাফার্জ সুরমা সিমেন্ট স্কয়ার ফার্মা মতিন স্পিনিং ফ্যামিলিটেক্স বিএসসিসিএল লেনদেনের শীর্ষে উঠে আসে সিএসইতে কোটি টাকার লেনদেনডিএসইর পাশাপাশি চট্টগ্রাম স্টক এক্সচেঞ্জেও সিএসই সূচক কমেছে লেনদেন শেষে সিএসইর সার্বিক মূল্যসূচক পয়েন্ট কমে অবস্থান হাজার পয়েন্টে সিএসইতে প্রতিষ্ঠানের শেয়ার মিউচুয়াল ফান্ড লেনদেন টির দাম কমেছে বেড়েছে টির অপরিবর্তিত প্রতিষ্ঠানের শেয়ারের দাম সিএসইতে কোটি টাকা লেনদেন গতকালের সাত কোটি টাকা বেশি গতকাল বাজারে কোটি টাকার শেয়ার লেনদেন,0.0
1,অধ্যায় প্রিয় শিক্ষার্থী বাংলাদেশ বিশ্বপরিচয় বইয়ের অধ্যায় প্রশ্নোত্তর আলোচনা করব প্রশ্ন ইতিহাসে সময় কোম্পানির শাসন নামে পরিচিতউত্তর সাল সাল দেশে ইষ্ট ইন্ডিয়া কোম্পানির শাসন ইতিহাসে কোম্পানির শাসন নামে পরিচিত প্রশ্ন ইংরেজরা ভাগ শাসন নীতি প্রণয়ন উত্তর ইংরেজরা দেশের মানুষের ধর্ম বর্ণ জাতি অঞ্চলভেদে যেসব পার্থক্য ভিত্তিতে বিভেদ সৃষ্টি করত একজনকে অন্যের বিরুদ্ধে স্বার্থ হাসিল উদ্দেশ্যে ভাগ শাসন নীতি প্রণয়ন প্রশ্ন ছিয়াত্তরের মন্বন্তর উত্তর বাংলা সালে দেশে ভয়াবহ দুর্ভিক্ষ ইতিহাসে ছিয়াত্তরের মন্বন্তর নামে পরিচিত প্রশ্ন বাংলায় নবজাগরণের কয়েকজন প্রধান ব্যক্তির নাম লেখো উত্তর নবজাগরণের কয়েকজন প্রধান ব্যক্তি রাজা রামমোহন রায় ঈশ্বরচন্দ্র বিদ্যাসাগর মাইকেল মধুসূদন দত্ত প্রমুখ প্রশ্ন ইংরেজ আমলে মুসলমানদের সামাজিক সংস্কার আধুনিক শিক্ষার প্রসারে কারা ভূমিকা রাখেন উত্তর স্যার সৈয়দ আহমেদ খান নবাব আব্দুল লতিফ সৈয়দ আমীর আলী প্রমুখ ইংরেজ আমলে মুসলমানদের সামাজিক সংস্কার আধুনিক শিক্ষার প্রসারে ভূমিকা রাখেন প্রশ্ন সালে সিপাহি বিদ্রোহ উদ্দেশ্য উত্তর সালের সিপাহি বিদ্রোহ প্রথম ব্রিটিশবিরোধী স্বাধীনতাসংগ্রাম বিদ্রোহের মূল উদ্দেশ্য ইংরেজ শাসনের অবসান ঘটিয়ে ভারতকে স্বাধীন প্রশ্ন কার নেতৃত্বে সিপাহি বিদ্রোহ শুরু উত্তর সিপাহি মঙ্গল পাণ্ডের নেতৃত্বে প্রথম বিদ্রোহ শুরু প্রশ্ন সালে ইংরেজরা বঙ্গভঙ্গ বাধ্য উত্তর সালে ইংরেজরা বঙ্গভঙ্গ বাধ্য প্রশ্ন সালে ভারতবর্ষ স্বাধীন রাষ্ট্র তৈরি উত্তর সালে ভারতবর্ষ স্বাধীন ভারত পাকিস্তান নামের পৃথক রাষ্ট্রের সৃষ্টি প্রশ্ন ইংরেজদের শাসনের বিরুদ্ধে অভিযানে অংশ কারণে কাদের ফাঁসি উত্তর ইংরেজদের শাসনের বিরুদ্ধে অভিযানে অংশ কারণে ক্ষুদিরাম মাস্টারদাকে ফাঁসি প্রশ্ন নারী জাগরণের অগ্রদূত উত্তর বেগম রোকেয়া সাখাওয়াত হোসেন বিয়াম ল্যবরেটরি স্কুল ঢাকা,0.0
3,বিশ্বব্যাপী আদিবাসীদের ভাষা দ্রুত হারিয়ে আদিবাসী নেতারা গুপ্তহত্যার শিকার হচ্ছেন তরুণদের আত্মহত্যার হারও বাড়ছে নিয়মিতভাবে মানবাধিকার লঙ্ঘনের ঘটনা ঘটছে শুক্রবার জাতিসংঘের স্থায়ী ফোরামে অংশগ্রহণকারীরা এসব কথা ধরেছেন আদিবাসী ইস্যু নিয়ে গঠিত ফোরামের অধিবেশনে বিশ্বের নেতারা আদিবাসীদের দুর্দশার চিত্র ধরেন ফোরামের চেয়ারম্যান আলভারো শেষ ভাষণে দুই সপ্তাহব্যাপী অধিবেশনে নিপীড়ন বাস্তুচ্যুতি বৈষম্য প্রান্তিক জনগোষ্ঠীর বিষয়ে শুনেছি আশা সাফল্যের গল্পও শুনেছি এপি,0.0
